year,members_total,members_white,members_black,members_indian
1802,84725,66065,18660,0
1803,103968,81517,22451,0
1804,112609,88750,23859,0
1805,119946,95629,24317,0
1806,130570,103313,27257,0
1807,145506,115558,29948,0
1808,152096,121680,30416,0
1809,162817,131033,31784,0
1810,172829,138732,34097,0
1811,184897,149168,35729,0
1812,195154,156661,38493,0
1813,214387,171437,42950,0
1814,211176,168609,42567,0
1815,211109,167949,43160,0
1816,215192,171931,43261,0
1817,225474,181425,44049,0
1818,229335,190180,39155,0
1819,240982,201810,39172,0
1820,255985,217249,38736,0
1821,280944,238887,42057,0
1822,297743,253355,44388,0
1823,312156,267233,44923,0
1824,328732,280666,48010,56
1825,350884,301393,49379,112
1826,360725,309309,51142,274
1827,382042,327978,53568,496
1828,420509,360535,59032,942
1829,438801,374231,63937,633
1830,476898,403362,69550,3986
1831,494160,425423,67479,1258
1832,543352,467555,73385,2412
1833,591895,511595,78053,2247
1834,636634,553622,80613,2399
